Constituency,No,Name,Gender,Category,Party,General Vote,Postal Vote,Total,PctVotes
Para,5,BAURI SWAPAN,M,SC,BJP,4680,1,4681,3.21
Para,6,SATYA NARAYAN RAJWAR,M,SC,JVM,3441,0,3441,2.36
Para,7,SANDIP RAJWAR,M,SC,BSP,1274,0,1274,0.87
Raghunathpur,1,PURNA CHANDRA BAURI,M,SC,AITC,77971,125,78096,48.34
Raghunathpur,2,DIPALI BAURI,F,SC,CPM,64990,363,65353,40.46
Raghunathpur,3,SUBHAS CHANDRA MONDAL,M,SC,BJP,7912,4,7916,4.9
Raghunathpur,4,BARUN BAURI,M,SC,JMM,7055,0,7055,4.37
Raghunathpur,5,MAHADEB BAURI,M,SC,BSP,3123,0,3123,1.93
Saltora,1,SWAPAN BOURI,M,SC,AITC,82225,372,82597,50.6
Saltora,2,SASTHI CHARAN BAURI,M,SC,CPM,69491,409,69900,42.82
Saltora,3,MANGAL CHANDRA MONDAL,M,SC,BJP,10728,13,10741,6.58
Chhatna,1,SUBHASIS BATABYAL,M,GEN,AITC,70014,326,70340,45.58
Chhatna,2,ANATH BANDHU MONDAL,M,GEN,RSP,62083,493,62576,40.55
Chhatna,3,MADAN LAYEK,M,GEN,IND,6156,0,6156,3.99
Chhatna,4,RABINDRANATH MANDAL,M,SC,BJP,4214,7,4221,2.74
Chhatna,5,KANAI BANERJEE,M,GEN,JMM,2596,1,2597,1.68
Chhatna,6,DHANESWAR HANSDA,M,ST,JDP,2224,0,2224,1.44
Chhatna,7,ABHIIJIT HANSDA,M,ST,CPI(ML)(L),2005,11,2016,1.31
Chhatna,8,BHARATI MUDI,F,ST,IND,1707,2,1709,1.11
Chhatna,9,JAGADANANDA ROY,M,SC,BSP,1578,1,1579,1.02
Chhatna,10,SOUMENDRA MUKHERJEE,M,GEN,JVM,898,0,898,0.58
Ranibundh,1,DEBALINA HEMBRAM,F,ST,CPM,74926,462,75388,44.25
Ranibundh,2,FALGUNI HEMBRAM,F,ST,AITC,68224,305,68529,40.22
Ranibundh,3,ADITYA KISKU,M,ST,JHAP,10942,8,10950,6.43
Ranibundh,4,LAKSHMI KANTA SARDAR,M,ST,BJP,6445,2,6447,3.78
Ranibundh,5,BISWANATH TUDU,M,ST,IND,5407,0,5407,3.17
Ranibundh,6,SUDHIR KUMAR MURMU,M,ST,CPI(ML)(L),2579,1,2580,1.51
Ranibundh,7,KRISHNAPADA MANDI,M,ST,JVM,1071,1,1072,0.63
Raipur,1,UPEN KISKU,M,ST,CPM,68689,319,69008,44.38
Raipur,2,PRAMILA MURMU,F,ST,AITC,68607,219,68826,44.26
Raipur,3,KSHETRA MOHAN HANSDA,M,ST,JMM,7172,4,7176,4.62
Raipur,4,PELARAM MURMU,M,ST,BJP,3760,10,3770,2.42
Raipur,5,SUKCHAND SAREN,M,ST,IND,3501,0,3501,2.25
Raipur,6,JNANADA MANDI,M,ST,IND,1501,0,1501,0.97
Raipur,7,DHIRENDRA NATH MANDI,M,ST,IND,1050,0,1050,0.68
Raipur,8,PARITOSH SAREN,M,ST,JVM,658,0,658,0.42
Taldangra,1,MANORANJAN PATRA,M,GEN,CPM,74414,365,74779,47.59
Taldangra,2,ARUN KUMAR PATHAK,M,GEN,INC,67356,258,67614,43.03
Taldangra,3,MILAN SINGHAMAHAPATRA,M,GEN,BJP,6107,3,6110,3.89
Taldangra,4,DULAL SAREN,M,ST,JDP,4098,0,4098,2.61
Taldangra,5,UZZWAL SINGHA,M,GEN,JHAP,1810,0,1810,1.15
Taldangra,6,KABITA SINGHA BABU,F,GEN,SUCI,1564,0,1564,1.0
Taldangra,7,KALIPADA HEMBRAM,M,ST,JVM,1157,0,1157,0.74
Bankura,1,KASHINATH MISHRA,M,GEN,AITC,92131,704,92835,53.93
Bankura,2,PRATIP MUKHERJEE,M,GEN,CPM,62745,1000,63745,37.03
Bankura,3,ANIL GHOSH,M,GEN,BJP,5726,6,5732,3.33
Bankura,4,SWAPAN KUMAR MANDAL,M,SC,IND,3112,0,3112,1.81
Bankura,5,ANIL PAL,M,GEN,BSP,1876,1,1877,1.09
Bankura,6,BIJOY CHANDRA MONDAL,M,SC,IND,1788,1,1789,1.04
Bankura,7,JABBAR SEKH,M,GEN,JVM,1782,1,1783,1.04
Bankura,8,BHAKTA RANJAN NAYAK,M,GEN,IND,1281,0,1281,0.74
Barjora,1,ASUTOSH MUKHERJEE,M,GEN,AITC,84110,347,84457,47.69
Barjora,2,SUSMITA BISWAS,F,GEN,CPM,75507,459,75966,42.89
Barjora,3,SANJOY PAL,M,GEN,BJP,6229,16,6245,3.53
Barjora,4,PRASANTA HEMBRAM,M,ST,IND,5577,0,5577,3.15
Barjora,5,THAKURDAS HEMBRAM,M,ST,IND,2592,0,2592,1.46
Barjora,6,TUDU BHABESH,M,ST,BSP,2265,0,2265,1.28
Onda,1,ARUP KUMAR KHAN,M,GEN,AITC,75461,238,75699,43.5
Onda,2,TARAPADA CHAKRABARTI,M,GEN,AIFB,74697,406,75103,43.16
Onda,3,AMAR NATH SAKHA,M,GEN,BJP,10049,7,10056,5.78
Onda,4,BAIDYANATH CHINA,M,GEN,CPI(ML)(L),4243,2,4245,2.44
Onda,5,AMITAVA DE,M,GEN,BSP,3201,0,3201,1.84
Onda,6,ABDUL HAI MALLICK,M,GEN,JMM,2141,0,2141,1.23
Onda,7,ABDUL SAMID MONDAL,M,GEN,JVM,1787,0,1787,1.03
Onda,8,DILIP MURMU,M,ST,JDP,1783,0,1783,1.02
Bishnupur,1,SHYAMA PRASAD MUKHERJEE,M,GEN,AITC,77281,381,77662,50.3
Bishnupur,2,GHOSH SWAPAN,M,GEN,CPM,67206,599,67805,43.91
Bishnupur,3,PANKAJ DHAR,M,GEN,BJP,5216,7,5223,3.38
Bishnupur,4,PURNA CHANDRA MURMU,M,ST,JDP,3714,2,3716,2.41
Katulpur,1,KHAN SAUMITRA,M,SC,INC,82803,552,83355,47.4
Katulpur,2,PURNIMA BAGDI,F,SC,CPM,81314,608,81922,46.59
Katulpur,3,KOTAL TARUN,M,SC,BJP,6170,10,6180,3.51
Katulpur,4,MOHAN SANTRA,M,SC,SUCI,4387,2,4389,2.5
Indus,1,GURUPADA METE,M,SC,AITC,85234,355,85589,49.05
Indus,2,SANTANU KUMAR BORA,M,SC,CPM,81361,223,81584,46.76
Indus,3,SRIKANTA BAGDI,M,SC,BJP,7317,2,7319,4.19
Sonamukhi,1,DIPALI SAHA,F,SC,AITC,81896,303,82199,49.8
Sonamukhi,2,CHONGRE MANORANJAN,M,SC,CPM,74506,404,74910,45.38
Sonamukhi,3,MADHAB BAGDI,M,SC,BJP,7958,3,7961,4.82
Khandaghosh,1,NABIN CHANDRA BAG,M,SC,CPM,94016,268,94284,52.11
Khandaghosh,2,ALOK KUMAR MAJHI,M,SC,AITC,80919,218,81137,44.85
Khandaghosh,3,KRISHNA DAS SINGHA,M,SC,BJP,5504,1,5505,3.04
Bardhaman Dakshin,1,RABIRANJAN CHATTOPADHYAY,M,GEN,AITC,106769,751,107520,57.7
Bardhaman Dakshin,2,NIRUPAM SEN,M,GEN,CPM,69415,1189,70604,37.89
Bardhaman Dakshin,3,SANDIP NANDI,M,GEN,BJP,5618,3,5621,3.02
Bardhaman Dakshin,4,MD. HARUN,M,GEN,BSP,2592,1,2593,1.39
Raina,1,KHAN BASUDEB,M,SC,CPM,98496,401,98897,51.12
Raina,2,NEPAL GHORUI,M,SC,AITC,86420,256,86676,44.8
Raina,3,PANDIT KRISHNA CHANDRA,M,SC,BJP,3239,2,3241,1.68
Raina,4,ASIT RANA,M,SC,PDCI,2611,0,2611,1.35
Raina,5,PROTUL BISWAS,M,SC,BSP,1023,1,1024,0.53
Raina,6,ADHIR ROY,M,SC,JDP,1004,0,1004,0.52
Jamalpur,1,UJJAL PRAMANICK,M,SC,AITC,84281,153,84434,48.73
Jamalpur,2,SAMAR HAZRA,M,SC,CPM,81710,181,81891,47.27
Jamalpur,3,SUBRATA MALIK,M,SC,BJP,3100,2,3102,1.79
Jamalpur,4,RABINDRA NATH BAG,M,SC,PDCI,1721,0,1721,0.99
Jamalpur,5,PRATAP MALIK,M,SC,JDP,1149,0,1149,0.66
Jamalpur,6,SURANJAN HALDER,M,SC,BSP,957,1,958,0.55
Monteswar,1,CHOWDHURY MD HEDAYATULLAH,M,GEN,CPM,81529,293,81822,47.24
Monteswar,2,ABU AYESH MONDAL,M,GEN,AITC,78343,181,78524,45.34
Monteswar,3,ABDUL KASED SHAIKH(KHOKAN BHAI),M,GEN,PDCI,4888,2,4890,2.82
Monteswar,4,SAKSHI GOPAL GHOSH,M,GEN,BJP,4025,2,4027,2.33
Monteswar,5,SUNIL SOREN,M,ST,JDP,2036,0,2036,1.18
Monteswar,6,SUKUMAR DAS,M,SC,BSP,1064,0,1064,0.61
Monteswar,7,ANNADA PRASAD BHATTACHORYYA,M,GEN,CPI(ML)(L),824,0,824,0.48
Kalna,1,KUNDU BISWAJIT,M,SC,AITC,84797,299,85096,49.98
Kalna,2,SUKUL CHANDRA SIKDAR,M,SC,CPM,72021,438,72459,42.56
Kalna,3,DILIP MONDAL,M,SC,BJP,6016,5,6021,3.54
Kalna,4,TAPAS DAS,M,SC,IND,2053,0,2053,1.21
Kalna,5,PEJUSH KUMAR SAHANA,M,SC,CPI(ML)(L),1646,1,1647,0.97
Kalna,6,SHIBU HALDER,M,SC,PDS,1557,0,1557,0.91
Kalna,7,RADHESYAM MANDAL,M,SC,BSP,1437,0,1437,0.84
Memari,1,ABUL HASEM MONDAL,M,GEN,AITC,88843,240,89083,48.24
Memari,2,DEBASHIS GHOSH,M,GEN,CPM,85592,313,85905,46.52
Memari,3,BISWAJIT PODDAR,M,GEN,BJP,3136,2,3138,1.7
Memari,4,ANANDA MOHAN BISWAS,M,GEN,JMM,2036,0,2036,1.1
Memari,5,SUKUMAR SAREN,M,ST,JDP,1935,1,1936,1.05
Memari,6,RADHARANI MURMU,F,ST,PDCI,1578,0,1578,0.85
Memari,7,MUKUL BISWAS,M,SC,BSP,989,0,989,0.54
Bardhaman Uttar,1,APARNA SAHA,F,SC,CPM,97639,543,98182,50.87
Bardhaman Uttar,2,NISITH KUMAR MALIK,M,SC,AITC,83594,355,83949,43.5
Bardhaman Uttar,3,SUNIL SEN,M,SC,BJP,5600,7,5607,2.91
Bardhaman Uttar,4,DIPU CHOWDHURY,M,SC,JD(U),2227,1,2228,1.15
Bardhaman Uttar,5,JAY GOPAL DAS,M,SC,BSP,1697,2,1699,0.88
Bardhaman Uttar,6,TARUN KANTI MAJHI,M,SC,CPI(ML)(L),1341,1,1342,0.7
Bhatar,1,BANAMALI HAZRA,M,GEN,AITC,83541,342,83883,47.29
Bhatar,2,KONAR SRIJIT,M,GEN,CPM,83247,338,83585,47.12
Bhatar,3,KONYAR DHATRIPADA,M,GEN,BJP,5585,1,5586,3.15
Bhatar,4,IYAR MOHAMMAD SEKH,M,GEN,PDCI,2469,0,2469,1.39
Bhatar,5,SEKH TOYEB,M,GEN,BSP,1854,0,1854,1.05
Purbasthali Dakshin,1,SWAPAN DEBNATH,M,GEN,AITC,85825,214,86039,49.72
Purbasthali Dakshin,2,ALEYA BEGAM SEKH,F,GEN,CPM,69942,239,70181,40.56
Purbasthali Dakshin,3,MAHADEB BASAK,M,GEN,BJP,10758,7,10765,6.22
Purbasthali Dakshin,4,RAM HANSDA,M,ST,IND,1818,0,1818,1.05
Purbasthali Dakshin,5,BADREDOJJA MOLLA,M,GEN,PDS,1675,1,1676,0.97
Purbasthali Dakshin,6,IRAI SEKH,M,GEN,CPI(ML)(L),1385,0,1385,0.8
Purbasthali Dakshin,7,KANAI LAL PANDEY,M,SC,BSP,1172,0,1172,0.68
Purbasthali Uttar,1,TAPAN CHATTERJEE,M,GEN,AITC,70966,141,71107,42.63
Purbasthali Uttar,2,PRADIP KUMAR SAHA,M,GEN,CPM,68751,216,68967,41.35
Purbasthali Uttar,3,SWAPAN BHATTACHARYA,M,GEN,BJP,17221,1,17222,10.32
Purbasthali Uttar,4,AMANULLAH SEKH,M,GEN,PDCI,5394,0,5394,3.23
Purbasthali Uttar,5,ASHOKE CHOWDHURY,M,GEN,CPI(ML)(L),2159,0,2159,1.29
Purbasthali Uttar,6,SANJIB HAZRA,M,SC,BSP,1957,0,1957,1.17
Katwa,1,RABINDRANATH CHATTERJEE,M,GEN,INC,97496,455,97951,52.53
Katwa,2,SUDIPTA BAGCHI,M,GEN,CPM,69945,481,70426,37.77
Katwa,3,ANIL DUTTA,M,GEN,BJP,7033,3,7036,3.77
Katwa,4,MOHAMMAD NASIRUDDIN,M,GEN,PDCI,3511,1,3512,1.88
Katwa,5,APURBA CHAKRABORTY,M,GEN,SUCI,2124,1,2125,1.14
Katwa,6,CHANDRA CHUR SARKAR,M,GEN,IND,1960,0,1960,1.05
Katwa,7,RANU GOLDAR,F,SC,BSP,1826,0,1826,0.98
Katwa,8,KISHORE KUMAR GHOSH,M,GEN,IND,1641,1,1642,0.88
Ketugram,1,SEKH SAHONAWEZ,M,GEN,AITC,77229,94,77323,45.7
Ketugram,2,ABUL KADAR SYED,M,GEN,CPM,75552,172,75724,44.75
Ketugram,3,DEBABRATA BASU,M,GEN,BJP,11048,3,11051,6.53
Ketugram,4,KAZI SAFIKUR RAHAMAN,M,GEN,IND,5109,0,5109,3.02
Mangalkot,1,SAHAJAHAN CHOUDHURY,M,GEN,CPM,81105,211,81316,46.22
Mangalkot,2,APURBA CHAUDHURI,M,GEN,AITC,81043,147,81190,46.15
Mangalkot,3,ALOKE TARANGA GOSWAMI,M,GEN,BJP,7220,4,7224,4.11
Mangalkot,4,ANIL KUMAR MARDI,M,ST,JDP,3566,1,3567,2.03
Mangalkot,5,SUKUMAR MALIK,M,SC,BSP,2630,0,2630,1.49
Ausgram,1,BASUDEV METE,M,SC,CPM,90628,235,90863,52.21
Ausgram,2,CHANCHAL KUMAR MONDAL,M,SC,INC,67675,92,67767,38.94
Ausgram,3,SANTI KARMAKAR,M,SC,BJP,7661,2,7663,4.4
Ausgram,4,NIHAR KUMAR HAZRA,M,SC,IND,3989,0,3989,2.29
Ausgram,5,MANASA MATE,M,SC,SUCI,2321,0,2321,1.33
Ausgram,6,BIRESWAR MAJI,M,SC,JDP,1445,0,1445,0.83
Galsi,1,SUNIL KUMAR MONDAL,M,SC,AIFB,91907,219,92126,50.59
Galsi,2,JOYDEB SAHA,M,SC,AITC,81195,77,81272,44.63
Galsi,3,TAPAN BAGDI,M,SC,BJP,8712,2,8714,4.78
Pandabeswar,1,GAURANGA CHATTERJEE,M,GEN,CPM,67140,100,67240,49.69
Pandabeswar,2,ZAHIR ALAM,M,GEN,AITC,59370,59,59429,43.92
Pandabeswar,3,ASHISH GARAI,M,GEN,BJP,4511,0,4511,3.33
Pandabeswar,4,RAMPRASAD MUKHERJEE,M,GEN,IND,2161,0,2161,1.6
Pandabeswar,5,NAYAN GOPE,M,GEN,IND,1975,1,1976,1.46
Durgapur Purba,1,DR. NIKHIL KUMAR BANERJEE,M,GEN,AITC,86910,140,87050,50.32
Durgapur Purba,2,ALPANA CHOWDHURY,F,GEN,CPM,78285,199,78484,45.37
Durgapur Purba,3,LAKSHMAN GHORUI,M,GEN,BJP,7447,2,7449,4.31
Durgapur paschim,1,APURBA MUKHERJEE,M,GEN,AITC,92341,113,92454,51.94
Durgapur paschim,2,BIPRENDU CHAKRABORTY,M,GEN,CPM,75284,164,75448,42.38
Durgapur paschim,3,KALYAN DUBEY,M,GEN,BJP,5433,1,5434,3.05
Durgapur paschim,4,SUNIL YADAB,M,GEN,JD(U),2859,0,2859,1.61
Durgapur paschim,5,SANDIP SARKAR,M,SC,BSP,1812,1,1813,1.02
Raniganj,1,ALI SOHRAB,M,GEN,AITC,73768,42,73810,47.83
Raniganj,2,RUNU DUTTA,M,GEN,CPM,71765,294,72059,46.7
Raniganj,3,SHOBHAPATI SINGH,M,GEN,BJP,5423,0,5423,3.51
Raniganj,4,RAJKUMAR PASWAN,M,GEN,JD(U),3016,0,3016,1.95
Jamuria,1,JAHANARA KHAN,F,GEN,CPM,72296,115,72411,52.82
Jamuria,2,PRABHAT KUMAR CHATTERJEE,M,GEN,AITC,58495,43,58538,42.7
Jamuria,3,PRAMOD PATHAK,M,GEN,BJP,6146,0,6146,4.48
Asansol Dakshin,1,TAPAS BANERJEE,M,GEN,AITC,89540,105,89645,55.75
Asansol Dakshin,2,ASHOK KUMAR MUKHERJEE,M,GEN,CPM,60910,194,61104,38.0
Asansol Dakshin,3,PAWAN KUMAR SINGH,M,GEN,BJP,6705,1,6706,4.17
Asansol Dakshin,4,NIRAJ LAL YADAV,M,GEN,JD(U),3356,0,3356,2.09
Asansol Uttar,1,GHATAK MOLOY,M,GEN,AITC,95867,144,96011,62.14
Asansol Uttar,2,RANU ROYCHOWDHURY,F,GEN,CPM,47984,234,48218,31.21
Asansol Uttar,3,MADAN MOHAN CHOUBEY,M,GEN,BJP,6747,3,6750,4.37
Asansol Uttar,4,BIJOY PRASAD SINGH,M,GEN,JD(U),3536,0,3536,2.29
Kulti,1,UJJAL CHATTERJEE,M,GEN,AITC,77517,93,77610,56.09
Kulti,2,ACHARYA MANIKLAL,M,GEN,AIFB,48957,87,49044,35.45
Kulti,3,VIVEKANANDA BHATTACHARJEE,M,GEN,BJP,5664,2,5666,4.1
Kulti,4,SUBHASH SINGH,M,GEN,JD(U),3566,1,3567,2.58
Kulti,5,SINGRAI MARANDI,M,ST,JMM,2467,1,2468,1.78
Barbani,1,BIDHAN UPADHYAY,M,GEN,AITC,78409,219,78628,52.92
Barbani,2,ABHAS RAYCHAUDHURI,M,GEN,CPM,57806,245,58051,39.07
Barbani,3,BISWANATH ROY,M,GEN,BJP,4977,3,4980,3.35
Barbani,4,DINESH KARMAKAR,M,GEN,IND,3332,0,3332,2.24
Barbani,5,AMAL MONDAL,M,SC,JMM,2623,0,2623,1.77
Barbani,6,ABHISHEK KUMAR SINGH,M,GEN,JD(U),964,0,964,0.65
Dubrajpur,1,BIJOY BAGDI,M,SC,AIFB,74978,369,75347,47.67
Dubrajpur,2,SANTOSHI SAHA,F,SC,AITC,72357,277,72634,45.95
Dubrajpur,3,PALTU PADA DHIBAR,M,SC,BJP,10069,14,10083,6.38
Suri,1,SWAPAN KANTI GHOSH,M,GEN,AITC,87291,953,88244,51.57
Suri,2,ABDUL GAFFAR,M,GEN,CPM,68274,853,69127,40.4
Suri,3,PARTHA DE,M,GEN,BJP,6617,32,6649,3.89
Suri,4,SK.MANIRUDDIN,M,GEN,IND,3926,0,3926,2.29
Suri,5,UJJWAL KUMAR SOW MONDAL,M,SC,IND,2009,0,2009,1.17
Suri,6,RABILAL HEMBRAM,M,ST,IND,1167,1,1168,0.68
Bolpur,1,CHANDRA NATH SINHA,M,GEN,AITC,88777,617,89394,50.51
Bolpur,2,TAPAN HORE,M,GEN,RSP,72242,525,72767,41.11
Bolpur,3,GHOSH DILIP,M,GEN,BJP,6365,16,6381,3.61
Bolpur,4,MARJINA KHATUN,F,GEN,PDCI,3287,4,3291,1.86
Bolpur,5,SAMIRAN DAS,M,SC,BSP,2098,2,2100,1.19
Bolpur,6,LAKSHMIRAM KISKU,M,ST,JDP,1836,0,1836,1.04
Bolpur,7,BHAKAT SUBRATA,M,GEN,JD(U),1224,0,1224,0.69
Nanoor,1,GADADHAR HAZRA,M,SC,AITC,91472,346,91818,49.21
Nanoor,2,SHYAMALI PRADHAN,F,SC,CPM,85649,306,85955,46.07
Nanoor,3,RAJKUMAR FULMALI,M,SC,BJP,8800,11,8811,4.72
Labhpur,1,ISLAM MONIRUL,M,GEN,AITC,78395,302,78697,47.68
Labhpur,2,NABANITA MUKHERJEE,F,GEN,CPM,75353,338,75691,45.86
Labhpur,3,KASHI NATH MISHRA,M,GEN,BJP,10650,18,10668,6.46
Sainthia,1,DHIREN BAGDI,M,SC,CPM,77037,475,77512,46.91
Sainthia,2,PARIKSHIT BALA,M,SC,AITC,72763,431,73194,44.29
Sainthia,3,SHIBNATH SAHA,M,SC,BJP,8769,17,8786,5.32
Sainthia,4,SRI MADAN CHANDRA DHULI,M,SC,IND,5756,5,5761,3.49
Mayureswar,1,ASOK RAY,M,GEN,CPM,67138,340,67478,42.31
Mayureswar,2,JATIL MONDAL,M,GEN,AITC,60689,269,60958,38.23
Mayureswar,3,DUDH KUMAR MONDAL,M,GEN,BJP,30951,80,31031,19.46
Rampurhat,1,ASISH BANERJEE,M,GEN,AITC,74789,277,75066,45.8
Rampurhat,2,REBATI BHATTACHARYA,M,GEN,AIFB,64538,290,64828,39.55
Rampurhat,3,SUBHASIS CHOUDHURY(KHOKON),M,GEN,BJP,17789,26,17815,10.87
Rampurhat,4,MAHESH KISKU,M,ST,IND,3766,3,3769,2.3
Rampurhat,5,PRADYOT MUKHERJEE,M,GEN,CPI(ML)(L),2424,3,2427,1.48
Hansan,1,ASIT MAL,M,SC,INC,73226,144,73370,46.73
Hansan,2,KAMAL HASAN,M,GEN,RCPI(R),46762,156,46918,29.88
Hansan,3,MD. RAFIUDDIN (MOMIN),M,GEN,IND,27448,13,27461,17.49
Hansan,4,RUPARANI MONDAL,F,SC,BJP,3368,5,3373,2.15
Hansan,5,AMAL MONDAL,M,GEN,SUCI,2501,2,2503,1.59
Hansan,6,RADHESHYAM SINGH,M,GEN,BSP,1265,0,1265,0.81
Hansan,7,JIYAR ALI,M,GEN,JP,1081,0,1081,0.69
Hansan,8,AZIZUL HAQUE(LALTU),M,GEN,IND,1049,1,1050,0.67
Nalhati,1,ABHIJIT MUKHERJEE,M,GEN,INC,75864,183,76047,49.03
Nalhati,2,DIPAK CHATTERJEE,M,GEN,AIFB,60620,267,60887,39.25
Nalhati,3,ANIL SINGHA,M,GEN,BJP,10647,9,10656,6.87
Nalhati,4,BIKASH MONDAL,M,GEN,BSP,2716,1,2717,1.75
Nalhati,5,RUDRADEB GHSOH,M,GEN,IND,1516,0,1516,0.98
Nalhati,6,AJRAIL MD,M,GEN,IND,1258,0,1258,0.81
Nalhati,7,RAFIQUL HASAN,M,GEN,SUCI,1123,0,1123,0.72
Nalhati,8,PRABHAT KUMAR MONDAL,M,SC,IND,912,0,912,0.59
Murarai,1,NURE ALAM CHOWDHURY,M,GEN,AITC,77738,79,77817,47.75
Murarai,2,ELAHI KAMRE DR,M,GEN,CPM,73294,120,73414,45.05
Murarai,3,SUDHIR RANJAN DAS GOSWAMI,M,GEN,BJP,4960,1,4961,3.04
Murarai,4,SHIBLAL SARDAR,M,ST,BSP,3074,0,3074,1.89
Murarai,5,AJRAIL MD,M,GEN,IND,2470,1,2471,1.52
Murarai,6,MIR MUKID(HAZI REKIB),M,GEN,JP,1228,0,1228,0.75
