Constituency,No,Name,Gender,Category,Party,General Vote,Postal Vote,Total,PctVotes
Kharagpur sadar,4,SATYA DEO SHARMA,M,SC,IND,5185,6,5191,3.79
Kharagpur sadar,5,SURANJAN MAHAPATRA,M,GEN,SUCI,1522,3,1525,1.11
Kharagpur sadar,6,SANJAY SHANKAR,M,GEN,JMM,1020,0,1020,0.74
Kharagpur sadar,7,SUBODH MESHRAM,M,SC,BSP,915,0,915,0.67
Kharagpur sadar,8,NAGRAJAN,M,GEN,JD(U),563,0,563,0.41
Narayangarh,1,SURJYA KANTA MISHRA,M,GEN,CPM,89384,420,89804,50.5
Narayangarh,2,ATTA SURJA KANTA,M,GEN,AITC,82465,230,82695,46.5
Narayangarh,3,KRISHNA PRASAD ROY,M,GEN,BJP,5339,6,5345,3.01
Sabang,1,MANAS RANJAN BHUNIA,M,GEN,INC,98359,396,98755,51.25
Sabang,2,RAMPADA SAHOO,M,GEN,CPM,85064,507,85571,44.41
Sabang,3,SABYASACHI SAHU,M,GEN,BJP,2505,2,2507,1.3
Sabang,4,NARAYAN CHANDRA ADHIKARI,M,GEN,SUCI,2424,13,2437,1.26
Sabang,5,NARAYAN CH. SAMAT,M,SC,BSP,2171,0,2171,1.13
Sabang,6,RAMKRISHNA SARKAR,M,GEN,IND,1235,0,1235,0.64
Pingla,1,PRABODH CHANDRA SINHA,M,GEN,DSP(P),84355,383,84738,47.24
Pingla,2,AJIT MAITY,M,GEN,AITC,83158,346,83504,46.56
Pingla,3,SAMBHUNATH HANSDA,M,ST,BJP,7629,12,7641,4.26
Pingla,4,RABI TUDU,M,ST,JMM,3481,0,3481,1.94
Kharagpur,1,HAQUE NAZMUL,M,GEN,CPM,69933,245,70178,46.78
Kharagpur,2,BILKIS KHANAM,F,GEN,AITC,67182,492,67674,45.11
Kharagpur,3,SHUBA RAJ,F,GEN,IND,4092,0,4092,2.73
Kharagpur,4,PRABIR KUMAR SAHU,M,GEN,BJP,3637,11,3648,2.43
Kharagpur,5,BALARAM PAL,M,GEN,PDS,2074,0,2074,1.38
Kharagpur,6,SK. SAMSUL HAQUE,M,GEN,PDCI,1394,0,1394,0.93
Kharagpur,7,SUNIL MAHATO,M,GEN,JD(U),966,1,967,0.64
Debra,1,RADHAKANTA MAITI,M,GEN,AITC,85826,389,86215,50.57
Debra,2,SK. SORAB HOSSEIN,M,GEN,CPM,77048,354,77402,45.4
Debra,3,DILIP KUMAR ROY,M,GEN,BJP,3886,7,3893,2.28
Debra,4,TANBIR MURSHED KHAN,M,GEN,IPFB,2967,2,2969,1.74
Daspur,1,AJIT BHUNIA,M,GEN,AITC,108632,416,109048,54.76
Daspur,2,SUNIL ADHIKARI,M,GEN,CPM,83496,625,84121,42.24
Daspur,3,SUJIT PAIN,M,GEN,BJP,5964,2,5966,3.0
Ghatal,1,SHANKAR DOLAI,M,SC,AITC,100937,418,101355,52.24
Ghatal,2,CHHABI PAKHIRA,F,SC,CPM,84471,607,85078,43.85
Ghatal,3,ASHOK MALIK,M,SC,BJP,4581,3,4584,2.36
Ghatal,4,MAHITOSH BAURI,M,SC,PDS,2983,1,2984,1.54
Chandrakona,1,CHHAYA DOLAI,F,SC,CPM,96861,419,97280,48.39
Chandrakona,2,SIBARAM DAS,M,SC,AITC,95647,337,95984,47.75
Chandrakona,3,BAPI DERA,M,SC,BJP,7752,1,7753,3.86
Garbeta,1,GHOSH SUSANTA,M,GEN,CPM,85683,364,86047,52.23
