Constituency,No,Name,Gender,Category,Party,General Vote,Postal Vote,Total,PctVotes
Mekliganj,1,ADHIKARY PARESH CHANDRA,M,SC,AITC,98790,548,99338,49.98
Mekliganj,2,DADHIRAM RAY,M,SC,BJP,83991,662,84653,42.59
Mekliganj,3,GOBINDA CHANDRA ROY,M,SC,AIFB,6758,95,6853,3.45
Mekliganj,4,NOTA,,,NOTA,2442,5,2447,1.23
Mekliganj,5,RANJIT KUMAR ROY,M,SC,SUCI,1761,7,1768,0.89
Mekliganj,6,JYOTISH ROY,M,SC,BSP,1019,6,1025,0.52
Mekliganj,7,SUBHASH BARMAN,M,SC,IND,953,2,955,0.48
Mekliganj,8,KUKIL ADHIKARY,M,SC,KPPU,789,5,794,0.4
Mekliganj,9,GOLAPI ROY,F,SC,IND,508,3,511,0.26
Mekliganj,10,CHINU ROY BARMAN,F,SC,AMB,396,4,400,0.2
Mathabhanga,1,Sushil Barman,M,SC,BJP,112146,1103,113249,52.87
Mathabhanga,2,Girindra Nath Barman,M,SC,AITC,86470,645,87115,40.67
Mathabhanga,3,Ashok Barman,M,SC,CPI(M),7553,165,7718,3.6
Mathabhanga,4,NOTA,,,NOTA,1431,12,1443,0.67
Mathabhanga,5,Kangsa Raj Barman,M,SC,KPPU,1282,7,1289,0.6
Mathabhanga,6,Haradhan Roy,M,SC,IND,1166,1,1167,0.54
Mathabhanga,7,Animesh Mohanta,M,SC,IND,1144,3,1147,0.54
Mathabhanga,8,Bikash Barman,M,SC,SUCI,582,7,589,0.27
Mathabhanga,9,Ratan Barman,M,SC,AMB,481,5,486,0.23
COOCHBEHAR UTTAR,1,SUKUMAR ROY,M,SC,BJP,118656,1827,120483,49.4
COOCHBEHAR UTTAR,2,BINAY KRISHNA BARMAN,M,SC,AITC,104823,1045,105868,43.4
COOCHBEHAR UTTAR,3,NAGENDRA NATH ROY,M,SC,AIFB,11232,243,11475,4.7
COOCHBEHAR UTTAR,4,NOTA,,,NOTA,1555,15,1570,0.64
COOCHBEHAR UTTAR,5,ANIL CHANDRA ROY,M,SC,SUCI,1375,11,1386,0.57
COOCHBEHAR UTTAR,6,NARESH CHANDRA ROY,M,SC,IND,1374,5,1379,0.57
COOCHBEHAR UTTAR,7,SAMARESH RAY,M,SC,KPPU,1110,17,1127,0.46
COOCHBEHAR UTTAR,8,GOPAL ROY,M,SC,AMB,620,8,628,0.26
Coochbehar Dakshin,1,Nikhil Ranjan Dey,M,GEN,BJP,89966,1594,91560,46.83
Coochbehar Dakshin,2,Avijit De Bhowmik,M,GEN,AITC,85620,1009,86629,44.31
Coochbehar Dakshin,3,Akshay Thakur,M,GEN,AIFB,9928,318,10246,5.24
Coochbehar Dakshin,4,Rati Ranjan Paul,M,GEN,IND,1480,5,1485,0.76
Coochbehar Dakshin,5,NOTA,,,NOTA,1436,28,1464,0.75
Coochbehar Dakshin,6,Khokan Majumdar,M,SC,BSP,1415,4,1419,0.73
Coochbehar Dakshin,7,Nazma Khandakar,F,GEN,SUCI,1124,14,1138,0.58
Coochbehar Dakshin,8,Anamika Paul,F,GEN,IND,728,11,739,0.38
Coochbehar Dakshin,9,Bidhan Barma,M,SC,IND,493,3,496,0.25
Coochbehar Dakshin,10,Babla Deb,M,GEN,AMB,326,3,329,0.17
Sitalkuchi,1,Baren Chandra Barman,M,SC,BJP,124120,835,124955,50.8
Sitalkuchi,2,Partha Pratim Ray,M,SC,AITC,106527,613,107140,43.56
Sitalkuchi,3,Sudhangshu Pramanik,M,SC,CPI(M),6622,98,6720,2.73
Sitalkuchi,4,NOTA,,,NOTA,2738,5,2743,1.12
Sitalkuchi,5,Hare Krishna Sarkar,M,SC,IND,2018,0,2018,0.82
Sitalkuchi,6,Manik Chandra Barman,M,SC,KPPU,970,6,976,0.4
Sitalkuchi,7,Kamal Barman,M,SC,AMB,719,2,721,0.29
