Constituency,No,Name,Gender,Category,Party,General Vote,Postal Vote,Total,PctVotes
Mekliganj,1,ARGHYA ROY PRADHAN (BILU),M,SC,AITC,74608,215,74823,41.35
Mekliganj,2,PARESH CHANDRA ADHIKARY,M,SC,AIFB,67821,365,68186,37.68
Mekliganj,3,DADHIRAM RAY,M,SC,BJP,23313,42,23355,12.91
Mekliganj,4,JYOTISH ROY,M,SC,BSP,5650,0,5650,3.12
Mekliganj,5,None of the Above,,,NOTA,2331,2,2333,1.29
Mekliganj,6,PRAMILA ROY,F,SC,SUCI,2087,3,2090,1.15
Mekliganj,7,RATAN BARMAN,M,SC,AMB,1809,0,1809,1.0
Mekliganj,8,GOLAPI ROY,F,SC,IND,955,0,955,0.53
Mekliganj,9,DIPEN ROY,M,SC,IND,913,1,914,0.51
Mekliganj,10,BINOD ROY,M,SC,KPPU,845,0,845,0.47
Mathabhanga,1,BINAY KRISHNA BARMAN,M,SC,AITC,95913,470,96383,48.1
Mathabhanga,2,KHAGEN CHANDRA BARMAN,M,SC,CPM,63761,704,64465,32.17
Mathabhanga,3,SUSHIL BARMAN,M,SC,BJP,31205,53,31258,15.6
Mathabhanga,4,None of the Above,,,NOTA,1971,9,1980,0.99
Mathabhanga,5,KANGSA RAJ BARMAN,M,SC,KPPU,1759,0,1759,0.88
Mathabhanga,6,HAREKRISHNA SARKAR,M,SC,IND,1353,0,1353,0.68
Mathabhanga,7,PIYARI MOHON BARMAN,M,SC,IND,1120,0,1120,0.56
Mathabhanga,8,NAYAN CHAND BARMAN,M,SC,AMB,1037,1,1038,0.52
Mathabhanga,9,MANJULA ROY,F,SC,SUCI,1026,3,1029,0.51
Cooch Behar Uttar,1,NAGENDRA NATH ROY,M,SC,AIFB,96681,948,97629,43.63
Cooch Behar Uttar,2,PARIMAL BARMAN,M,SC,AITC,84782,554,85336,38.14
Cooch Behar Uttar,3,SUKUMAR ROY,M,SC,BJP,29952,73,30025,13.42
